E95A	Communications	cast,connect,wifi,share,wlan,lan
E95B	Headset	audio,sound,volume,device,support,help
E95D	Projector	screen,display,project,visual,presentation
E95E	Health	heart,health,medical,care,wellness,fitness
E95F	Wire	plug,electricity,connection,power,cord
E960	Webcam2	camera,capture,stream,meeting
E961	Input	keyboard,mouse,hardware
E962	Mouse	pointer,device,input,click
E963	Smartcard	chip,security,payment
E964	SmartcardVirtual	virtual,security,digital,chip
E965	MediaStorageTower	device,backup
E966	ReturnKeySm	arrow,enter,submit,keyboard
E967	GameConsole	device,entertainment
E968	Network	remote,network adapter,hardware,device
E969	StorageNetworkWireless	remote,data,connection
E96A	StorageTape	cassette,backup,media,archival
E96D	ChevronUpSmall	arrow,direction,navigation
E96E	ChevronDownSmall	arrow,direction,navigation
E96F	ChevronLeftSmall	arrow,direction,navigation
E970	ChevronRightSmall	arrow,direction,navigation
E971	ChevronUpMed	arrow,direction,navigation
E972	ChevronDownMed	arrow,direction,navigation
E973	ChevronLeftMed	arrow,direction,navigation
E974	ChevronRightMed	arrow,direction,navigation
E975	Devices2	hardware,connections,peripherals,electronics,gadgets
E976	ExpandTile	maximize,view,window
E977	PC1	computer,personal,device,desktop,technology
E978	PresenceChicklet	stop,pause,end,cease,interrupt
E979	PresenceChickletVideo	camera,image,photography,picture
E97A	Reply	arrow,respond,answer,return
E97B	SetTile	arrow,symbol-icon
E97C	Type	type,orientation,rotate,square,rectangle
E97D	Korean	language,Korean,hangul,alphabet
E97E	HalfAlpha	letter,character,symbol
E97F	FullAlpha	letter,character,symbol
E980	Key12On	language,Korean,hangul
E981	ChineseChangjie	input,method,characters
E982	QWERTYOn	chinese
E983	QWERTYOff	chinese,english
E984	ChineseQuick	character,language
E985	Japanese	Kanji,character,language
E986	FullHiragana	japanese,character,language
E987	FullKatakana	japanese,character,language
E988	HalfKatakana	japanese,character,language
E989	ChineseBoPoMoFo	character,language
E98A	ChinesePinyin	character,language
E98F	ConstructionCone	warning,caution,barrier
E990	XboxOneConsole	device,videogame,game,symbol-icon
E992	Volume0	sound,audio,level,speaker
E993	Volume1	sound,audio,level,speaker
E994	Volume2	sound,audio,level,speaker
E995	Volume3	sound,audio,level,speaker
E996	BatteryUnknown	charge,power,status
E998	WifiAttentionOverlay	!,warning,wireless fidelity,connect,internet,web,connection,network,wlan,lan
